lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linesag,linesagr,linesagpred,linesaggm,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
-9.5,-5.5,Wyoming,Akron,-11.5,-12.08,,-5.5,-7.45,,-7.1,-1.5,-2.19,5.8,0.1,-1.6,-2,-4.6,3.12,-7.54,9.5,,-4.9,-7,-6.69,-1,0.2323,1.04,,,-6,0,-8.12,-8.15,-8.15,-8.11,-6.45,-0.63,-3.455145972,,-3.7,-5.6965,,,,,-10.1,-7.1,,,-1.8515,-8,-1.84,,-4.16,3.5,-3.815856833,4.7643721825,-4.38,0.5289761841,0.4092801114,-5.5
10.5,18,Hawaii,Arizona,7.5,,,18,15.14,,4.12,8.389,15.27,20.594,18.2,15.1,15.4,9.6,8.15,17.85,4,,14,10.3,15.71,3,14.1168,12.05,,,10,0,6.11,6.11,6.83,5.39,11.32,9.72,7.49091557,,11.81,15.6973,,,,,15.1,12.7,,,15.393,1,7.66,,14.54,27.6,11.770314731,5.2755336547,11.81,0.3944922377,0.7583865104,17
-2.5,-2.5,Auburn,Baylor,3.5,,,-2.5,7.84,,12.08,4.667,3.57,13.023,6.2,3,5.3,3.4,9.52,2.54,12,,-1.7,2.4,0.63,1,0.429,8.15,,,4,0,-4.71,-4.73,-4.72,-4.69,-0.24,7.28,10.90660311,,1.31,3.3892,,,,,7.35,-1.9,,,5.054,-1,0.07,,3.04,-3.3,3.3045372317,4.9697589064,3.3892,0.598740767,0.5784557372,-1.5
16.5,20.5,Jacksonville St.,Central Florida,8.5,21.14,,20.5,17.22,,3.69,9.111,15.24,18.724,32.4,26.8,29.1,11.7,0.54,14.9,-0.5,,16,,17.77,1,16.2383,13.24,,,16,0,13.78,13.8,13.8,13.76,4.74,5.93,6.955131916,,11.72,13.175,,,,,24.05,17,,,14.98,-1,10.78,,10.4,20.2,13.825240912,7.5704773906,13.8,0.3900250831,0.7833521197,19.5
-8.5,-5,Appalachian St.,Charlotte,-13,-10.49,,-5,-0.85,,-4.37,-8.833,-2.18,0.754,-0.3,-1.8,-3.3,-8.2,-1.2,-9.66,3.5,,-5.7,-9.8,-6.4,-10,-2.9557,-2.59,,,,0,-9.13,-9.16,-9.16,-9.12,-0.76,-12.03,-1.313327362,,-6.27,-9.5389,,,,,-9.3,-7.3,,,-5.5055,-7,-7.79,,-8.88,-5.8,-5.95521221,4.0918901258,-6.4,0.4834635173,0.3587041671,-5
-6.5,-6.5,Nebraska,Cincinnati,-1,-6.56,,-6.5,-0.28,,-4.31,-5,-1.61,-1.966,-5.6,-6.4,-6.4,-2.7,-6.9,-3.54,-0.5,,-3.3,-6.5,-4.2,-12,-4.2096,-4.11,,,-10,1,-7.58,-7.6,-7.59,-7.57,-9.59,0.08,-6.731573281,,-3.82,-3.3264,,,,,-1.4,-6.7,,,-5.397,4,-9.45,,-2.62,-4.4,-5.021682591,2.9338271217,-4.7,0.5257802665,0.3783254877,-6.5
3,3.5,LSU,Clemson,2,,,3.5,6.41,,4.87,3.833,1.68,11.117,3.1,3.6,5.4,1.9,1.96,0.06,16.5,,5.4,4.4,0.47,8,0.9457,1.99,,,4,0,2.19,2.19,2.18,2.19,5.33,2.86,3.142496224,,1.11,-0.5288,,,,,-5.1,3.6,,,3.584,3,1.92,,-4.44089E-16,-0.2,3.2029541778,3.5913832873,2.19,0.4948375233,0.5777164617,3.5
-3.5,-4.5,Georgia Tech,Colorado,0.01,,,-4.5,8.76,,1.14,-0.611,6.39,12.012,8.1,5.1,7.4,3.9,9.08,4.25,18,,-3.5,-3,4.9,2,0.4943,12.45,,,-2,0,-3.27,-3.29,-3.29,-3.27,14.87,-5.77,6.794294732,,5.3,10.6722,,,,,14.9,-4.9,,,3.745,-2,3.74,,5.16,1.4,3.9330512781,6.1951963929,3.9,0.6401317088,0.5909597946,-3.5
-12.5,-14,Alabama,Florida St.,-18,,,-13.5,-24.86,,-17.83,-4.778,-13.36,-12.954,-20.2,-19.1,-20.6,-20.2,-11.96,-20.54,-8,,-13.2,-17.4,-19.16,-38,-17.1379,-26.17,,,-9,0,-16.34,-16.38,-16.38,-16.31,-34.77,-17.55,-14.8694401,,-13.45,-22.8209,,,,,-41.1,-17.9,,,-17.248,-7,-19.1,,-18.44,-14.6,-18.56309257,7.4455155055,-17.55,0.4241759932,0.1456500793,-14.5
1.5,-1.5,Georgia Southern,Fresno St.,0.01,,,-1.5,1.14,,-13.51,-3.178,1.4,0.537,-0.5,1,1.5,3.2,-1.59,3.24,5,,-2.4,0.7,5.14,-8,0.2012,1.33,,,4,0,-1.94,-2.13,-1.86,-1.84,6.41,0.04,-0.859891035,,2.93,4.7593,,,,,9.35,0.4,,,1.7115,3,-0.6,,5.54,-14.6,0.186317399,4.8023628367,0.537,0.5290037249,0.5044654516,-1.5
38.5,38.5,Marshall,Georgia,24.5,,,39.5,30.55,,35.6,29.944,22.83,21.588,32.3,35.3,32.1,27.2,12.25,28.99,7,,28.5,39.3,33.09,25,29.4213,22.51,,,40,0,39.78,39.86,39.87,39.75,21.55,29.59,12.186921805,,22.19,20.6158,,,,,39.15,43.4,,,27.4855,8,31.02,,28.15,23.8,29.039186337,8.6738322609,29.4213,0.3483613861,0.9452461492,37.5
