lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
20.5,20,Wisconsin,Alabama,12.5,13.02,,21,17.09,,12.99,11.445,17.45,7.472,16.3,17.5,17,14,6.71,19.2,14.5,,16,18,18.35,17.39,16.76,26.06,20.72,17,15.5934,15.35,,,10,0,19.56,8.87,-0.001719936,,10.96,18.3945,,,,,18.95,24.9,,,14.7,4,15.87,15.229,18.05,6.45,15.144112975,5.042617179,16,0.4171948959,0.8175214136,19
0,-1,Kansas St.,Arizona,1,6.22,,-1,-16.39,,-1.72,-3.183,5.76,1.927,-3.3,-4.3,-4.4,-9.6,-5.98,-3.42,-13,,-2.1,-2.2,1.98,-0.81,-3.35,11.29,-0.49,3,2.4476,-2.12,,,-9,0,-6.28,-6.27,6.131861614,,9.72,-5.5806,,,,,4,6.6,,,1.4,30,5.27,-1.753,-4.03,-0.18,-1.154328064,5.9399931832,-1.753,0.4973730394,0.4729452095,-1
14,17.5,Texas St.,Arizona St.,3,16.14,,16.5,35.74,,26.17,14.515,11.01,19.147,32.3,27,30.3,11.2,11.67,14.6,9,,14.5,14.9,6.2,7.91,8.49,2.29,11.15,7,8.2624,10.61,,,24,0,0.15,4.22,7.597197759,,5.75,9.125,,,,,14.5,12.6,,,13.3,-1,7.31,15.995,11.14,13.86,13.314908048,8.3679167856,11.2,0.4312561231,0.7702565378,16.5
-20,-21.5,Iowa St.,Arkansas St.,-18.5,-24.3,,-21,-31.54,,-27.06,-21.685,-25.05,-22.878,-33.3,-29.1,-31.9,-26.4,-10.61,-27.3,-6.5,,-18.5,-22.7,-12.7,-12.94,-10.37,-20.75,-27.47,-32,-16.1811,-26.66,,,-21,0,-17.62,-22.57,-15.82592226,,-20.33,-27.2031,,,,,-26.3,-24,,,-28.7,-18,-20.17,-21.008,-20.85,-32.16,-22.54408439,6.6568609687,-22.7,0.482377595,0.0959027267,-21.5
24.5,25,South Alabama,Auburn,12,25.14,,24.5,25.06,,16.89,25.809,22.18,21.539,26.8,25.5,25.7,17.3,10.56,21.78,4.5,,23.5,19.9,18.59,18.06,18.86,23.68,20.38,19,21.1185,18.55,,,28,0,4.57,11.19,16.299756228,,18.42,13.1312,,,,,29.6,26.7,,,24.5,11,24.42,22.682,13.86,23.61,19.983228547,6.0794160407,21.1185,0.4153789857,0.8793049945,24.5
-5,-5,Liberty,Bowling Green,-1,-2.35,,-6,-0.8,,-9.67,-3.759,5.07,11.921,-1.9,-3.6,-2.8,0.4,7.35,0.56,1.5,,-6.9,-3.4,2.1,1.56,0.77,3.97,1.56,-1,1.2397,5.03,,,-12,0,-3.55,-0.26,6.116296917,,3.97,0.4724,,,,,-0.05,-3,,,1.75,-1,1.49,10.116,-1.93,-2.91,0.1639566734,4.7559660123,0.4,0.5882012041,0.5039327013,-4
-1.5,-3,Minnesota,California,-4,-1.94,,-2.5,-13.24,,-9.48,-6.307,-4.1,-1.24,-10.7,-7.7,-7.2,-4.7,-5.77,-5.27,2.5,,-2.9,0.2,-3.29,-3.06,-2.94,-6.26,-5.88,-9,-0.6055,-8.07,,,-9,0,-7.53,-7.46,-4.774873985,,-0.04,0.3012,,,,,-4.5,-9.2,,,-7.7,-13,-3.59,-9.324,-2.05,-12.27,-5.353788486,3.6896623813,-5.27,0.4591906225,0.3717315794,-3
-6.5,-10,East Carolina,Coastal Carolina,3,-8.04,,-7.5,-5.23,,-3.29,0.555,-7.05,-9.817,-5.9,-6.4,-7.1,-2.5,-9.93,-7.73,-5,,-5.8,-5.4,-5.1,-4.81,-0.45,-14.81,-11.67,-18,-9.296,-15.59,,,-5,0,-3.6,-7.96,-5.845374755,,-13.46,-5.6804,,,,,-30.25,-12.9,,,-9.8,-26,-10.47,-9.2,-1,-9.15,-7.829020939,5.8516145257,-7.05,0.5369366824,0.3223504212,-10
-11,-8,Connecticut,Delaware,-13,-16.16,,-10.5,-12.06,,-7.68,-12.475,-9.4,-16.662,-7,-8.2,-7.9,-8.7,-7.49,-13.03,-5,,-12.8,-7.6,-6.91,-6.79,-4.62,-13.59,-15.5,-21,-7.0879,-18.86,,,,0,1.81,-19.45,-2.869760376,,-9.79,-2.1745,,,,,-8,-12.1,,,-12.6,-11,-11.98,,-0.3,-16.17,-10.0896903,5.3458183507,-9.4,0.4642580081,0.2741805621,-8
2.5,2,Florida Atlantic,Florida Intl.,0.5,-0.06,,2.5,5.81,,1.62,4.769,1.87,0.674,1.5,0.8,2.2,1.4,9.72,-2.57,6.5,,0.6,2.3,5.44,4.92,4.06,8.47,-0.4,11,-0.7306,4.95,,,-5,0,-2.83,-0.03,6.2982300812,,5.59,6.057,,,,,37.55,6.9,,,2.8,-5,3.44,10.38,0.35,2.16,4.0272332454,6.7506495219,2.3,0.534147172,0.5919945605,2
4.5,3,Jacksonville St.,Georgia Southern,-0.5,2.38,,3.5,5.93,,15.65,4.093,-4.81,-1.205,8.5,6.5,5.3,-5.1,-3.48,-3.46,-3.5,,7.1,2.2,3.66,3.92,7.15,-1.24,-4.99,-6,-2.3144,-11.37,,,7,0,-8.51,-6.94,-2.948018802,,-9.89,-0.5502,,,,,-10.85,-2.5,,,-5.6,-24,-6.16,-9.338,-3.43,-2.91,-1.032773481,6.2408017223,-2.5,0.4319156702,0.475942157,2.5
-5.5,-3,Clemson,Georgia Tech,-1.5,-4.25,,-3,-8.16,,-9.3,-5.015,5.82,-4.213,-5.6,-6.4,-6.8,-6.2,2.18,-2.04,-8.5,,-5.5,-5,-0.29,-2.25,-3.46,4.14,-3.06,6,1.3914,1.92,,,-7,0,-8.03,-8.66,7.199190692,,2.87,-2.4541,,,,,16.2,-1.8,,,0.56,18,1.54,1.252,-2.23,-4.47,-1.92187863,5.3789840508,-2.4541,0.5184522561,0.4545169321,-3
5,5,Colorado,Houston,6,8.43,,4.5,-7.29,,-2.36,2.901,-0.51,-4.898,-4.5,-2.8,-4.9,-0.3,-4.53,-1.04,-10.5,,3.3,-0.3,3.79,2.37,2.47,7.47,-0.45,-4,1.7646,-0.7,,,3,0,6.7,10.33,1.785702287,,2.4,-4.1315,,,,,5.5,3.8,,,2.45,14,4.65,-5.459,3.38,-6.42,0.4703460078,4.7968293506,1.7646,0.4225135848,0.5112725543,4
28,27.5,Western Mich.,Illinois,25,30.73,,27.5,38.56,,38.23,30.567,26.82,22.957,43.1,39.1,41.3,22,18.38,28.45,16,,25,29.3,22.83,21.47,22.68,31.41,28.13,35,25.878,29.13,,,34,0,21.66,34.79,27.480660764,,21.51,26.5779,,,,,25.1,32.9,,,38.85,33,33.08,35.705,21.94,37.26,29.266907048,6.885550592,28.45,0.5297222047,0.9540796084,27.5
33,35,Massachusetts,Iowa,28.5,39.06,,35,38.62,,43.93,34.776,34.25,31.549,47.5,44.9,47.3,40.3,19.13,39.71,22.5,,28.5,34.5,34.21,33.45,32.94,47.02,40.9,41,32.7637,40.61,,,48,0,28.14,42.15,40.587138058,,33.83,44.6538,,,,,43.3,42.2,,,38.5,23,41.33,45.844,36.53,43.11,38.002530758,6.9676332094,39.71,0.5503685022,0.9855489352,35
-23.5,-23.5,Buffalo,Kent,-14,-20.96,,-22,-30.35,,-32.87,-9.747,-15.31,-29.167,-23.7,-22.1,-26.8,-18.4,-11.82,-17.63,-12,,-22,-19.2,-18.72,-19.51,-17.79,-26.26,-21.85,-37,-12.2109,-25.49,,,-24,0,-14.58,-12.73,-23.57953461,,-14.82,-17.4835,,,,,-25.1,-22.5,,,-11.9,-11,-20.63,-29.477,-12.26,-15,-20.24175499,6.6104300236,-19.51,0.554867888,0.1203641377,-23.5
24.5,26.5,Eastern Mich.,Kentucky,21.5,26.67,,24,30.66,,21.45,21.199,28.41,26.588,37.2,33.8,37.1,27.1,17.53,32.07,9,,22,25.2,24.18,24.11,22.73,32.76,34.84,30,24.3256,29.14,,,30,0,14.15,19.86,23.383440168,,31.01,24.7644,,,,,47.25,32,,,31.8045,20,33.37,29.118,24.97,31.02,27.358457842,6.9884828112,27.1,0.5144325218,0.9420386784,26.5
9.5,7,Florida,LSU,16,5.48,,7.5,2.28,,10.1,9.995,5.38,15.863,8.2,8.9,8.4,8,3.69,4.98,3,,7.8,12,7.18,5.54,7,10.08,7.2,6,2.8707,3.99,,,8,0,14.84,5.77,7.99829203,,7.58,10.397,,,,,17.1,5.4,,,10.031,-3,13.45,5.764,8.4,15.81,8.3910538386,3.9106419142,7.99829203,0.5241068976,0.6954410727,7
10.5,10,New Mexico St.,Louisiana Tech,0.5,14.88,,10,15.04,,12.68,5.869,8.85,14.936,9.7,9.4,10.2,11.6,7.93,9.51,8,,7.2,12.9,12.58,13.08,10.39,17.77,12.61,25,8.693,19.06,,,3,0,-0.62,6.05,11.531434511,,10.77,11.8901,,,,,20.5,12,,,11.2,-7,11.06,19.785,8.25,6.84,11.098230662,5.202500224,11.06,0.5188285631,0.7460102834,10
14.5,17.5,South Florida,Miami (Fla.),14.5,10.48,,17.5,22.64,,9.53,8.166,15.6,18.18,17.8,17.1,17.8,16.6,13,14.27,15.5,,16,17.3,17.74,18.83,21.32,15.81,13.37,12,6.1366,11.09,,,16,0,17.01,7.6,9.415507487,,2.84,17.5768,,,,,11.9,10,,,14.7,-2,13.39,10.192,17.51,15.03,14.160186689,4.2630718506,15.03,0.4424440132,0.8046402526,17.5
27,28,Central Mich.,Michigan,24,28.68,,28,40.32,,20.3,22.554,24.18,21.382,41.2,38.9,41.9,30.5,17.93,36.15,19.5,,25.5,27.9,22.59,23.78,25.43,24.02,30.48,19,24.7206,30.13,,,29,0,32.05,25.49,20.478547703,,21.19,31.7745,,,,,23.6,27.5,,,33.6,11,30.46,33.319,29.54,37.26,28.00834183,6.5420069669,27.5,0.5001410336,0.9479998727,28
7.5,6.5,Arkansas,Mississippi,20,6.85,,7,13.92,,9.09,12.018,12.02,12.502,9.6,10.6,11.9,15.8,12.14,12.87,14,,8,5.6,8.61,8.72,9.73,8.24,15.93,9,6.5295,13.14,,,15,0,13.07,3.46,11.538600278,,13.26,14.5649,,,,,23.1,10.1,,,11.55,-8,10.51,10.314,11.57,12.69,11.555054062,3.7302250867,11.57,0.5870686235,0.759890316,7.5
25.5,27.5,Louisiana-Lafayette,Missouri,18.5,20.97,,27.5,23.08,,20.05,22.871,25.32,26.005,29.2,26.8,28.1,15.7,11.35,25.25,2,,23,21.3,20.01,19.6,18.85,27.17,26.06,30,23.604,22.48,,,30,0,18.76,20.66,20.223330881,,25.12,21.1846,,,,,31.2,26.5,,,30.1,29,25.87,27.664,21.09,28.68,23.089781916,5.6811809151,23.08,0.4251670105,0.9138215322,27
-26.5,-28,SMU,Missouri St.,-28,-25.77,,-28,-31.81,,-29.62,-21.698,-20.2,-19.721,-33.2,-31.5,-31.9,-27.6,-8.8,-23.8,-22,,-24.5,-25.4,-19.2,-21.03,-21.15,-22.51,-27.92,-26,-20.8261,-23.09,,,-32,0,-19.41,-30.4,-19.54749419,,-12.95,-28.1961,,,,,-26.6,-26.8,,,-25.2,-19,-14.38,,-21.74,-26.7,-24.19913039,5.5572378662,-24.85,0.564673408,0.07582504,-28
9,9.5,Middle Tenn.,Nevada,11,16.39,,9.5,10.92,,-2.82,11.166,9.82,18.903,9.1,7.9,7.9,10.1,8.68,11.51,8.5,,7.1,5.8,9.52,9.07,7.77,14.23,15.72,18,8.6849,13.47,,,14,0,2.07,1.98,18.720816399,,14.74,13.0862,,,,,18.05,8.8,,,8.2355,12,13.05,21.534,7.17,6.84,10.721903146,5.0710304802,9.82,0.5209731791,0.7392653662,9.5
4,5.5,Washington St.,North Texas,-1.5,11.3,,6,2.17,,13.33,4.62,-5.26,2.685,-3.6,-2.6,-5.3,-8,-4.82,-4.19,-1.5,,4.7,-0.5,2.71,3.1,1.73,3.23,-1.74,6,2.2309,4.35,,,3,0,-2.44,-3.61,1.887467967,,0.39,-6.929,,,,,-4.9,6.5,,,0.7,1,-0.95,-5.011,-4.67,-1.35,0.1557667018,4.8139326044,-0.5,0.4088192533,0.5037325201,4.5
