lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
-8.5,-10,Boise St.,Air Force,-7,,,,-14.08,,-13.46,-12.276,-6.43,,-20.3,-18.9,-21.4,-10,,-9.1,-16,,-8.4,-12.4,-6.68,-6.13,-6.42,-10.67,-7.89,-10,-11.2198,-9.49,,,,0,-3.91,0.21,-8.386068202,,2.6,-7.2996,,,,,-15,-7.7,,,-9.1,2,-14.44,-8.43,-5.85,-12.42,-9.938529339,5.1466604125,-9.1,0.5010548346,0.276448813,-10
2.5,-2.5,North Texas,Army,3,,,,-1.73,,6.92,11.734,0.17,,7.8,6.8,8.6,11.6,,7.34,9.5,,-1.1,3.5,4.69,4.04,7.15,2.14,-4.56,-8,-0.1425,6.36,,,,0,4.16,5.46,-4.252278401,,-3.38,13.8576,,,,,6.05,-4.5,,,3.15,-29,5.92,6.475,9.65,13.13,4.2888430788,5.4800178579,5.46,0.6144976899,0.6004385146,-1.5
-2.5,2.5,Arizona St.,Baylor,3.5,,,,-10.6,,-2.18,4.7,-0.82,,-1.7,-1.3,-2.3,-1,,1.85,-2,,1.3,1.4,3.25,3.17,3.43,2.64,-1.39,-2,0.8764,-1.03,,,,0,2.32,0.82,3.312966005,,-3.06,-0.9676,,,,,7.35,2.3,,,0.7,-3,0.38,0.673,1.65,5.78,0.6380232123,3.2190932828,0.82,0.467596634,0.5156507489,2.5
6.5,6,Troy St.,Buffalo,5.5,,,,5.12,,11.85,6.551,2.31,,5,3.4,3.2,0.5,,-2.18,14.5,,3.6,-1.4,3.88,3.13,4.73,3.48,-3.97,-1,-0.2402,3.36,,,,0,1.97,8.04,3.276628838,,-3.04,-2.9708,,,,,-7.2,3.9,,,5.95,9,5.15,-1.287,-3.61,2.98,2.5599887527,4.4831518474,3.276628838,0.4408359596,0.5614422072,5.5
5,6.5,North Carolina,Central Florida,5,,,,11.67,,-2.74,-5.236,9.87,,14.7,11.2,13.8,9.4,,10.07,7,,3.7,3.8,3.64,4.28,2.79,3.53,13.31,16,11.2239,10.44,,,,0,8.2,12.18,7.259751045,,12.96,8.7612,,,,,32.7,11.6,,,11.2,18,3.7,8.643,9.57,8.93,8.8833894256,6.3986776789,9.4,0.5402940049,0.6975129557,7
-4.5,-2.5,Rice,Charlotte,-5.5,,,,-6.79,,-4.68,-4.536,-3.07,,-4.7,-4.7,-6.1,-4.4,,-3.64,1.5,,-2.1,-0.6,0.69,0.05,0.8,0.22,-4.96,-15,-1.1468,-5.71,,,,0,-6.41,-6.37,-5.215925359,,-7.34,-8.0545,,,,,-14.1,-7.2,,,-5.25,-13,-2.13,-2.913,-8.49,-9.97,-4.782309859,3.8306962175,-4.7,0.4604653502,0.3852353344,-3
20,17.5,Syracuse,Clemson,8,,,,17.34,,15.19,10.722,6.34,,20.2,20,21.7,12.7,,10.92,10,,16.5,20.5,14.46,14.19,15.51,16.08,11.45,7,9.6353,9.61,,,,0,7.71,4.64,6.618152898,,7.49,11.3335,,,,,8.9,14.8,,,11.9,-5,12.8,8.913,15.19,14.18,12.500665239,4.489139645,11.9,0.4143724674,0.7748703808,16.5
14,13.5,Wyoming,Colorado,5,,,,22.98,,18.32,17.585,18.5,,31.8,26.4,30.1,13.5,,17.74,24.5,,11.5,16.8,14.27,15.56,15.42,13.75,15.71,16,12.9532,21.29,,,,0,7.54,6.07,11.064408074,,9.88,26.471,,,,,17.3,15.5,,,14.9695,1,8.01,5.859,12.74,20.83,16.239760851,6.6900192016,15.56,0.5461360037,0.8262764243,13.5
-4,-4.5,Texas-San Antonio,Colorado St.,-3,,,,-5.8,,-9,0.53,-2.97,,-1.5,-2.8,-3.5,-1.4,,-6.17,4,,-7.1,0.6,-1.58,-1.69,0.61,-5.9,-8.24,-14,-0.8748,-10.53,,,,0,-6.32,-4.54,-4.204931849,,-3.19,3.4187,,,,,-46.3,-3.7,,,-5.25,-3,-4.05,-1.646,-5.01,-9.62,-5.17354642,8.3225835987,-3.7,0.4888753029,0.3867707286,-4.5
20.5,21,Ball St.,Connecticut,10.5,,,,24.42,,30.95,11.574,16.28,,22.1,21.8,24,9.8,,13.44,22.5,,19.5,18.6,20.15,21.83,19.58,22.66,19.29,32,15.5662,23.01,,,,0,19.17,18.1,20.224349969,,15.9,24.0822,,,,,29.25,23.9,,,17.3915,13,10.89,6.658,6.72,17.33,19.065643938,6.2215190649,19.5,0.4672124407,0.8674426663,21
