lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
6,4,Wyoming,Air Force,2,,0.23,4,0.69,11.93,2.24,0.45,-7.131,3.1,2.1,2.5,2.7,-3.98,3.72,1,0.7811737,2.9,4.7,3.26,3.74,-0.37,6.78,-0.28,2,2.0598,3.85,,,3.21,0,-0.37,4.31,1.87714427,,1.15,4.2545,,,,,6.3,4.9,,,-0.7,-2,-1.45,1.786,3.78,-7.1,,,1.9188846834,3.4184025271,2.0799,0.4638384363,0.5468568208,4
8.5,8,Tennessee,Alabama,14,,11.5,8,12.99,9.14,9.046,9.3,9.079,10.8,11,11.7,10.8,6.26,7.97,-2,6.884253,8.7,9.8,11.6,10.74,10.04,15.62,12.59,16,6.2547,8.2,,,9.72,0,15.9,4.78,9.526871495,,7.79,11.2482,,,,,22.13,12.7,,,7.35,2,12.23,11.927,13.01,4.06,,,10.273316434,3.9729042413,10.39,0.5393382404,0.734166847,8
10.5,10,Coastal Carolina,Appalachian St.,8,,4.52,10,8.79,2.44,5.843,6.83,0.298,7.9,8,8.5,7,2.08,6.81,2.5,10.92223,6.8,9.8,6.93,6.94,5.58,8.99,6.01,5,5.5389,8.8,,,5.97,0,13.81,3.81,-1.248541903,,3.77,7.8602,,,,,17.425,6.6,,,5.6,7,6.29,3.915,7.67,-4.62,,,6.254573371,3.8117644325,6.7,0.4352918553,0.6486513643,9
-10,-7.5,Texas Tech,Arizona St.,-11,,-19.08,-7.5,-23.22,-1.56,-0.913,-8.14,-21.565,3.8,0.4,3.3,-8,-10.55,-4.31,4.5,-22.73382,-10.5,-10.2,-6.36,-4.27,-5.82,-12.01,-20.84,-26,-7.2695,-6.84,,,-8.67,0,-13.8,-17.04,-18.83702304,,-10.23,-10.0458,,,,,-11.925,-14.8,,,-7.7,-22,-9.81,-13.582,-10.47,-8.96,,,-10.13292482,7.5015014653,-10.1229,0.4561036789,0.2825581898,-7.5
-7.5,-7.5,Texas A&M,Arkansas,-16.5,,-10.53,-7.5,-11.89,-6.5,-10.136,-7.55,-25.754,-10.7,-10.7,-11.7,-11.4,-10.69,-4.96,-3.5,-9.953785,-5.3,-8.8,-7.71,-5.55,-13.04,-6.13,-12.35,-17,-5.3019,-6.46,,,-6.37,0,-10.07,-9.37,-9.120776893,,-9.77,-9.7834,,,,,-18.35,-9.2,,,-15.4,-11,-11.51,-10.61,-8.63,-10.51,,,-10.23157531,4.2399933372,-10.0118925,0.4528629597,0.2674952651,-8
2.5,-2,Missouri,Auburn,-3,,0.65,-2,-1.81,-5.67,2.064,-3.37,-0.08,-0.6,0.6,-0.3,1,-2.33,-1.07,-4.5,-2.036215,-0.7,-2.4,2.75,3.33,2.28,2.34,-3.53,-7,-0.9109,-0.38,,,-0.13,0,-2.03,-3.56,1.380315533,,0.59,1.9814,,,,,-0.58,1.3,,,-0.7,-11,-1.9,-0.954,-1.16,3.13,,,-0.718563144,2.3982560419,-0.65,0.5224120051,0.4822191713,-2
-3,-3,Utah,BYU,8.5,,-3.54,-3,-6.83,2.96,5.036,2.24,0.124,-3.5,-5.1,-4.7,-2.3,2.36,-0.77,15.5,-6.366787,-2.2,-4.6,-0.19,-0.74,3.66,-5.59,-5.48,-10,0.1378,-2,,,-1.3,0,-2.67,-1.27,-0.686962133,,-0.42,-0.4487,,,,,-18.6,-3.8,,,3.85,-3,-0.67,-4.556,-3.19,4.68,,,-1.380806556,5.442049261,-1.285,0.527683038,0.4673268323,-3
1.5,1,Akron,Ball St.,6,,10.56,1,-0.3,-1.14,4.691,4.19,9.552,0.2,1,0.6,6.8,5.47,4.21,3,4.536562,1.9,3.7,5.3,3.58,5.95,6.62,3.21,6,3.284,0.86,,,3.3,0,-2.04,1.47,8.6769014678,,5.22,4.0315,,,,,14.175,3,,,5.6,-1,6.11,4.326,10.79,10.57,,,4.6053411439,3.5081861801,4.268,0.5624384308,0.6111082101,2
10.5,12.5,UNLV,Boise St.,1,,11.37,12.5,15,20.84,3.054,5.43,2.999,9.6,10.1,10,7.9,4.2,7.64,3.5,11.42866,7.8,12,9.97,11.85,6.13,12.76,13.76,13,5.6398,10.87,,,9.4,0,3.46,10.56,10.429083449,,11.25,2.5884,,,,,16.125,11.8,,,4.2,-1,5.08,6.207,12.9,2.51,,,8.7987090381,4.4483751438,9.785,0.4363608501,0.7025522112,12
2.5,1.5,Connecticut,Boston College,-6.5,,-8.6,1.5,-7.91,1.93,2.914,0.87,-14.116,14.2,7.5,9,-0.2,-11.52,6.26,-0.5,-15.16363,1.2,0.3,0.61,1.77,0.06,-0.86,-7.31,-8,-2.4129,-4.11,,,1.66,0,-9.63,-8.17,-3.176320364,,-5.4,-1.1096,,,,,-1.6,-0.2,,,-12.6,-15,-4.42,1.241,-1.24,-12.06,,,-2.560353957,6.4952967325,-1.1748,0.4316526791,0.4408675252,1
6,4,Central Mich.,Bowling Green,9.5,,14.48,4,12.8,5.99,6.933,11.53,14.769,9.1,9.4,11.3,12.2,10.38,9.27,10,16.20267,4.5,11.2,12.67,13.24,11.37,15.13,17.78,12,7.9514,13.57,,,9.87,0,8.75,11.51,10.498494554,,12.6,16.3868,,,,,21.4,9.9,,,12.0505,5,16.13,19.36,12.48,9.33,,,11.935049067,3.5255585047,11.52,0.6352697934,0.767669865,5.5
10.5,10,North Carolina,California,10.5,,15.71,10,5.98,8.76,5.839,6.92,21.463,3.8,6.8,8.7,9.8,14.26,4.35,3.5,13.7255,8.8,5.6,7.58,5.6,8.41,9.53,11.36,9,7.5385,6.5,,,5.99,0,10.87,13.09,13.207960899,,10.08,9.0621,,,,,17.175,7,,,15.75,10,8.64,9.83,7.94,28.86,,,9.9347647605,5.0082405144,8.78,0.498879107,0.7239749534,10
7.5,7.5,West Va.,Central Florida,6.5,,1.92,7.5,7.63,3.65,1.881,8.59,-0.659,10.4,10,10.5,9.8,6.16,7.24,6.5,7.443537,6.9,10.5,7.69,8.72,6.04,9.26,9.35,13,5.9041,9.51,,,8.12,0,10.3,13.25,2.644090783,,9.76,9.573,,,,,17.625,8.1,,,9.8,7,4.66,9.254,6.67,-6.79,,,7.563045468,4.1355979712,8.11,0.5010913749,0.6770031435,7.5
-10.5,-11.5,Temple,Charlotte,-9,,-17.35,-11.5,-13.24,-7.99,-7.125,-6.03,-19.795,-6.8,-7.1,-7.2,-8.8,-11.63,-5.71,6,-16.65604,-7.4,-8.8,-7.47,-8.77,-8.28,-7.57,-18.6,-19,-9.0243,-12.72,,,-6.18,0,-19.58,-14.99,-15.58019462,,-14.57,-7.7605,,,,,-15,-13.9,,,-11.9595,-18,-10.37,-8.804,-7.97,-26.32,,,-11.02748775,5.674457508,-8.902,0.5080652515,0.2572516328,-11.5
10.5,6,SMU,Clemson,4.5,,2.45,6,10.53,10.75,1.181,4.38,7.481,6.6,10.2,10.1,4.7,0.22,6.27,1,2.384197,8.5,10.4,9.69,9.62,6.73,15.23,7.29,6,3.3593,5.01,,,8.51,0,1.76,7.45,0.683872619,,5.42,-0.4698,,,,,19.575,9.2,,,3.85,-2,4.99,6.643,5.29,2.51,,,6.3154623584,4.1849825445,6.135,0.5054586679,0.6492415664,6
1,3,Hawaii,Colorado St.,-3.5,,4.49,3,8.72,-3.57,-0.789,2.15,9.561,2.7,2.3,1.8,1.3,-4.02,2.6,9.5,5.332981,1.9,-0.8,2.12,5.5,2.08,-2.32,7.65,1,5.7126,2.91,,,-2.54,0,-1.07,-1.92,-3.787568192,,3.05,6.0543,,,,,-1.125,3.1,,,-2.8,-6,-9.29,-3.801,4.46,4.06,,,1.5452187581,4.2330595159,2.1,0.4748523635,0.5373289017,3
2.5,1.5,Georgia Tech,Duke,-1,,3.97,1.5,2.85,8.3,-1.734,-0.38,-3.469,-2.8,2.3,2.4,1.6,0.4,1.02,8,2.118156,0.7,6.4,4.1,3.27,-0.31,9.15,-0.03,1,2.9241,1.33,,,3.61,0,-0.47,10.03,7.697577968,,0.56,-0.5611,,,,,4.725,-0.1,,,-0.7,-2,7.97,12.857,3.66,0.03,,,2.668887736,3.7929348618,1.859078,0.5202777581,0.5647056979,1.5
15.5,17,Tulsa,East Carolina,15,,25.66,17,21.94,18.17,17.362,19.53,23.137,20.4,20.1,22.5,21.9,14.72,20.06,19,25.93667,22.5,18.3,22.58,24.48,20.24,26.77,27.47,29,21.7314,27.76,,,18.76,0,28.96,18.05,21.569881252,,21.2,22.8565,,,,,29.325,22.3,,,20.65,10,21.15,27.749,19.92,23.28,,,22.15835398,3.758104621,21.8157,0.5888012102,0.9120082015,18
10,9.5,Mississippi St.,Florida,2,,7.79,9.5,14.16,16.35,8.658,3.96,5.982,11.9,12,12.5,5.9,4.16,7,11.5,5.3685,9.6,12.2,12.98,13.94,12.84,13.85,10.35,6,4.7564,10.27,,,8.31,0,1.22,0.46,7.217171487,,5.33,9.5841,,,,,0.245,10.3,,,4.55,-6,9.25,10.681,9.29,11.81,,,8.5332150391,4.1036700974,9.27,0.4832648097,0.6979483679,9.5
