lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
0,-1,Army,Air Force,1,,,,-4.98,-2.17,,,,,,,,,-4.47,-13,-8.441607,-3.2,,-1.9,-1.8,-4.55,0.01,-7.15,-6,,-4.38,,,-2.86,0,-2.62,-0.01,-4.339812411,,-4.68,-9.2093,-20.17556432,,,,,-0.9,-6.188890353,-5.038869232,,-2,,-1.946,-0.15,-5.61,,,-3.982224391,3.2492506147,-4.339812411,0.4482002157,0.4032938246,-1.5
4,4.5,Mississippi St.,Arkansas,2,,,,6.68,6.45,,,,,,,,,4.39,10.5,3.449814,4.6,,5.56,6.73,4.67,5.87,4.12,1,,4.14,,,4.57,0,-3.84,0.45,3.637354048,,4.1,2.1558,-0.517020895,,,,,3,4.347854316,-3.182591343,,-4,,4.43,4.95,4.54,,,4.1000328946,2.6084911706,4.39,0.4930084276,0.6002062144,4.5
10,10,Kentucky,Auburn,13,,,,14.27,10.17,,,,,,,,,9.61,10,16.17422,11.1,,14.62,13.29,15.41,16.88,12.88,10,,15.95,,,11.83,0,19.8,14.11,15.829908957,,11.22,8.0455,15.56386926,,,,,13.7,15.851002384,4.0296538516,,9,,15.692,10.5,12.37,,,13.292105254,2.8138879477,13.29,0.5572903753,0.7942673063,10.5
6.5,4.5,Central Florida,Baylor,6,,,,-3.23,16.75,,,,,,,,,0.59,7.5,-3.460934,6.6,,4.5,3.43,7.15,2.35,-4.8,-1,,0.15,,,2.48,0,-6.86,-4.63,4.150693891,,-1.33,0.8678,6.1401289688,,,,,2.2,2.3399221067,3.2476816464,,-5,,2.849,0.68,8.6,,,2.1550592799,5.0949260901,2.3399221067,0.4598093326,0.5512416607,4
17.5,17.5,Fresno St.,Boise St.,13.5,,,,25.36,24.72,,,,,,,,,18.58,14.5,25.01685,24.5,,21.07,21.08,19.65,25.54,22.61,20,,23.38,,,19.6,0,15.11,17.33,24.45460038,,17.77,17.3083,51.470691119,,,,,18.4,24.320535879,5.1009537492,,9,,27.105,22.57,11.79,,,20.61061145,4.1930676621,21.07,0.5536605179,0.8944713934,18
-28,-28.5,Notre Dame,Boston College,-24,,,,-43.18,-22.74,,,,,,,,,-29.72,-11,-40.80421,-30.5,,-24.53,-22.98,-27.88,-27.3,-39.67,-46,,-36.05,,,-25.93,0,-30.16,-26.09,-34.53044202,,-32.42,-35.6265,-65.41868597,,,,,-30.2,-41.84423324,-19.01960364,,-24,,-35.235,-32.82,-29.97,,,-31.24721541,7.7574952733,-30.2,0.4543617856,0.0389603043,-28.5
1,1.5,Buffalo,Bowling Green,4.5,,,,3.39,-5.27,,,,,,,,,5.19,-2.5,7.026234,-3.4,,7.08,5.85,6.12,10.14,9.12,1,,5.75,,,3.96,0,0.63,3.69,7.7390812421,,9.02,7.1276,-0.963024584,,,,,3.1,9.9409128,0.15722904,,-3,,4.688,4.91,3.09,,,4.4756731217,3.9818021906,4.91,0.5514290623,0.6073635555,2.5
-3.5,-4.5,Virginia,California,-7,,,,-11.43,-2.39,,,,,,,,,-2.29,6,-19.09841,-5,,-5.94,-5.95,-6.2,-7.45,-16.2,-20,,-12.08,,,-4.65,0,-11.27,-12.05,-12.16240579,,-13.03,-8.2322,-8.559233639,,,,,-9.1,-15.79708281,-4.635626942,,-12,,-9.544,-6.13,-11.99,,,-9.159363944,5.6865757886,-9.1,0.4209980697,0.2941553731,-5
3.5,3.5,Duke,Clemson,2,,,,0.17,9.17,,,,,,,,,8.83,9,-1.676477,2.8,,7.89,8.61,5.78,10.83,-0.06,2,,2.26,,,7.34,0,2.07,-1.48,-3.524743534,,0.7,-1.6706,-26.42197201,,,,,7.4,-1.769743675,-5.851582075,,-8,,-3.089,5.29,-4.16,,,2.9883774317,4.6522808846,2.07,0.4911816693,0.571421909,3.5
-3.5,-4,Marshall,Coastal Carolina,3.5,,,,-9.73,-2.36,,,,,,,,,-6.38,-6.5,-12.14738,-5.5,,-2.18,-4.93,0.67,-3.39,-12.45,-12,,-13.05,,,-4.28,0,-5.29,-4.9,1.792218927,,-5.49,-12.7659,-2.410845035,,,,,-6.4,-8.848713369,1.39576666,,-6,,-0.83,-5.41,3.38,,,-5.419590978,4.9012492519,-5.41,0.4755993088,0.3725782513,-4
