lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-2,-2,Georgia Southern,Appalachian St.,-5.5,,,,-0.82,-7.67,,,,,,,3.8,,0.83,,,0.6,,,,,,-0.98,,,,,,,1,0.339880543,1.48,-5.74,-2.744878853,,-0.049,0.8656,-5.211252823,,,,,-1.7,-1.575476776,,,,-2.574,1.08,2.5,,,-0.957788136,3.0728339031,-0.049,0.5181669276,0.4764720133,-2
2.5,2.5,Missouri St.,Arkansas St.,-2.5,,,,-4.44,5.73,2.429,,,,,,,,0.17,,,2,,,,,,-2.63,,,,,,,1,-0.83342782,-1.03,4.41,1.641843527,,-0.027,0.6185,1.7609296977,,,,,0.7,-0.43759798,,,,11.093,-0.73,2,,,1.0942303357,3.6024959479,0.6185,0.4755850055,0.5266966381,2.5
-3.5,3,Connecticut,Army,-6,,,,-2.99,-0.96,,,,,,,,,5.53,,,2.5,,,,,,-0.03,,,,,,,1,1.5208826886,-4.66,-1.69,-0.28848343,,0.152,8.091,7.1137730749,,,,,-2.5,0.8162507124,,,,-1.451,1.66,4.5,,,0.2115249537,3.7039979117,-0.159241715,0.4516930346,0.5051572655,3
2.5,3.5,Georgia Tech,BYU,12,,,,10.44,4.22,,,,,,,,,8.89,,,3.9,,,,,,11.27,,,,,,,1,13.072951019,12.03,11.32,15.041773596,,0.075,7.0867,20.416088959,,,,,8.3,2.3256003912,,,,6.537,8.78,16.5,,,9.3414640384,4.2977343337,9.665,0.599922946,0.7142759809,4.5
6.5,-1,Navy,Cincinnati,-3.5,,,,2.28,-0.46,,,,,,,,,7.95,,,1.8,,,,,,7.88,,,,,,,1,6.790130294,0.48,0.74,0.664203981,,0.064,6.7444,7.0601375149,,,,,7.9,-1.282268342,,,,0.048,2.33,10.5,,,3.2631708922,4.0557088928,2.04,0.5734254677,0.5786438849,-0.5
-1,3,Penn St.,Clemson,-3,,,,-7.54,-1.92,,,,,,,,,-8.47,,,1.8,,,,,,-10.25,,,,,,,1,-9.499940118,0.75,2.66,-3.945146338,,-0.106,-5.7594,-8.754561018,,,,,-5.8,-0.292661197,,,,0.013,-4.4,-6.5,,,-3.872967904,4.0944397185,-4.172573169,0.3827265774,0.4069614195,2
-3.5,-3,Louisiana-Lafayette,Delaware,-2,,,,-3.14,-4.69,-4.728,,,,,,,,-8.16,,,-3.3,,,,,,-1.54,,,,,,,1,-1.554278562,1.14,-1.28,-3.709334409,,-0.032,-7.0586,10.029624135,,,,,-3.4,-0.05179347,,,,-12.774,-5.63,1.5,,,-3.550365469,3.547799029,-3.3,0.4904328057,0.4139299533,-3
1.5,1.5,Arizona St.,Duke,-0.5,,,,-1.68,-1.21,,,,,,,,,-3.85,,,0.4,,,,,,-1.19,,,,,,,1,-1.952972592,-2.92,8.19,-1.700246407,,-0.023,-3.37,-15.65480383,,,,,-1.9,-0.82277815,,,,3.301,-0.9,1,,,-0.519076187,2.9052312401,-1.2,0.4648050872,0.4872193911,1
-6,-6,Pittsburgh,East Carolina,-0.5,,,,-6.14,-10.44,,,,,,,,,-6.09,,,-4.8,,,,,,-5.71,,,,,,,1,-5.254636584,6.67,-0.46,-4.086359493,,-0.082,-6.9048,-5.012355654,,,,,-7.7,-0.263468724,,,,-4.789,-3.79,-1.5,,,-3.848549755,3.9851866048,-4.7945,0.5372323102,0.4073890064,-6
3.5,3,Miami (Ohio),Fresno St.,4.5,,,,1.79,-1.34,,,,,,,,,3.19,,,3.1,,,,,,2.08,,,,,,,1,3.5314562822,1.56,4.08,1.61120792,,-0.037,2.4903,0.3900461949,,,,,3.3,0.5964061388,,,,0.619,2.85,6.5,,,2.4890602626,1.8660343453,2.67015,0.4910402566,0.5616358127,3
