lineopen,line,road,home,linehow,linedokter,linebihl,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
25.5,26.5,East Carolina,Alabama,19.5,,,,,,,,,,,,,22.49,,,24,,,,,,,,,,,,,0,,14.64,13.55,12.647730078,17.32,,,,28,,,,,,,11.21,,,18.150858898,5.7501159516,17.32,0.3605598769,0.8579809658,25.5
7,7,Baylor,Auburn,1.5,,,,,,,,,,,,,5.05,,,4.8,,,,,,,,,,,,,0,,10.21,11.23,9.260835028,8.61,,,,11.5,,,,,,,2.71,,,7.2078705587,3.7592915473,8.61,0.5036084922,0.670097409,7
1.5,1,UCLA,California,3,,,,,,,,,,,,,0.05,,,-3.1,,,,,,,,,,,,,0,,18.75,7.75,2.29170045,0.37,,,,-1.5,,,,,,,-2.39,,,2.8024111611,6.8273971624,0.37,0.5303398151,0.5642022267,1
9.5,7.5,Boston College,Cincinnati,10.5,,,,,,,,,,,,,9.21,,,14.5,,,,,,,,,,,,,0,,10.66,9.15,9.047429844,5.93,,,,9.2,,,,,,,13.59,,,10.198603316,2.572148917,9.21,0.5470737534,0.736222476,8.5
4,4,Wyoming,Colorado St.,2,,,,,,,,,,,,,-1.15,,,-3.3,,,,,,,,,,,,,0,,-1.17,-0.73,-0.372246108,0.28,,,,5.3,,,,,,,-0.35,,,0.0564170991,2.4113046563,-0.372246108,0.4313381241,0.5013963308,3
8.5,9.5,Tulane,Duke,0.01,,,,,,,,,,,,,5.37,,,1.7,,,,,,,,,,,,,0,,-2.25,9.02,3.651769621,3.72,,,,7.4,,,,,,,-1.71,,,2.9890855134,3.9146524671,3.651769621,0.3885897781,0.5722627601,8.5
8,7.5,Sacramento St.,Eastern Mich.,16.5,,,,,,,,,,,,,3.68,,,-0.2,,,,,,,,,,,,,0,,3.3,,1.661633893,2.01,,,,8,,,,,,,10.53,,,5.6852042366,5.6039788097,3.49,0.4690299776,0.6317619934,7.5
3.5,4,San Jose St.,Eastern Mich.,0.5,,,,,,,,,,,,,-3.22,,,-2.4,,,,,,,,,,,,,0,,2.99,8.05,4.292681454,-3.38,,,,3.7,,,,,,,3.39,,,1.546964606,3.9309146301,2.99,0.4575499191,0.5375411171,4
25.5,26.5,Florida Atlantic,Florida,17.5,,,,,,,,,,,,,25.31,,,24,,,,,,,,,,,,,0,,18.3,22.49,16.411649241,21.71,,,,28.8,,,,,,,18.69,,,21.467961027,4.1094171573,21.71,0.4135606544,0.903944053,25.5
29,30.5,New Mexico St.,Florida St.,17,,,,,,,,,,,,,30.78,,,29.5,,,,,,,23,,,,,,0,,15.08,25.16,20.146734267,24.48,,,,28.4,,,,,,,18.01,,,23.155673427,5.4804671657,23.74,0.3764282347,0.9152714759,29.5
