lineopen,line,road,home,linehow,linedokter,linebihl,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca,linemidweek
25.5,28,East Carolina,Alabama,19.5,,,,,,,,,,,,,22.49,,,24,,,,,,19.52,,,,,,,0,,14.64,13.55,12.647730078,17.32,,,,28,,,,,,,11.21,,,18.287773008,5.4385226781,18.41,0.3384964479,0.8612577881,27,
7,7,Baylor,Auburn,1.5,,,,,,,,,,,,,5.05,,,4.8,,,,,,9.06,,,,,,,0,,10.21,11.23,9.260835028,8.61,,,,11.5,,,,,,,2.71,,,7.3930835028,3.5923611644,8.835,0.5068313647,0.6745563304,7,
-55,1.5,UCLA,California,3,,,,,,,,,,,,,0.05,,,-3.1,,,,,,0.68,,,,,,,0,,18.75,7.75,2.29170045,0.37,,,,-1.5,,,,,,,-2.39,,,2.590170045,6.4718276856,0.525,0.5184398455,0.5598464581,1.5,
9.5,7.5,Boston College,Cincinnati,10.5,,,,,,,,,,,,,9.21,,,14.5,,,,,,5.78,,,,,,,0,,10.66,9.15,9.047429844,5.93,,,,9.2,,,,,,,13.59,,,9.7567429844,2.7987943862,9.205,0.5393477885,0.7267341811,8.5,
4,4,Wyoming,Colorado St.,2,,,,,,,,,,,,,-1.15,,,-3.3,,,,,,3.39,,,,,,,0,,-1.17,-0.73,-0.372246108,0.28,,,,5.3,,,,,,,-0.35,,,0.3897753892,2.5059178541,-0.361123054,0.4371195522,0.5096374502,3,
10,10,Tulane,Duke,0.01,,,,,,,,,,,,,5.37,,,1.7,,,,,,6.07,,,,,,,0,,-2.25,9.02,3.651769621,3.72,,,,7.4,,,,,,,-1.71,,,3.2971769621,3.8171959192,3.6858848105,0.385317139,0.5797261394,9,
9,8.5,Sacramento St.,Eastern Mich.,16.5,,,,,,,,,,,,,3.68,,,-0.2,,,,,,5.87,,,-0.54,,,,0,,3.3,,1.661633893,2.01,,,,8,,,,5.41,,,10.53,,,5.1110576266,5.0504357882,3.68,0.4419987881,0.6200885744,8,
4.5,4.5,San Jose St.,Eastern Mich.,0.5,,,,,,,,,,,,,-3.22,,,-2.4,,,,,,-0.89,,,,,,,0,,2.99,8.05,4.292681454,-3.38,,,,3.7,,,,20.23,,,3.39,,,3.0238801322,6.7425310713,2.99,0.4751191813,0.5693582817,4.5,
25.5,26.5,Florida Atlantic,Florida,17.5,,,,,,,,,,,,,25.31,,,24,,,,,,22.68,,,,,,,0,,18.3,22.49,16.411649241,21.71,,,,28.8,,,,,,,18.69,,,21.589164924,3.8933077854,22.1,0.4154752326,0.905900994,25.5,
31,31,New Mexico St.,Florida St.,17,,,,,,,,,,,,,30.78,,,29.5,,,,,,28.09,23,,31.88,,,,0,,15.08,25.16,20.146734267,24.48,,,,28.4,,,,16.98,,,18.01,,,23.731287251,5.8066970802,24.48,0.3780584387,0.9191032978,30,
